Product_Code,Warehouse,Product_Category,Date,Order_Demand
Product_0993,Whse_J,Category_028,7/27/2012,100
Product_0979,Whse_J,Category_028,1/19/2012,500
Product_0979,Whse_J,Category_028,2/3/2012,500
Product_0979,Whse_J,Category_028,2/9/2012,500
Product_0979,Whse_J,Category_028,3/2/2012,500
Product_0979,Whse_J,Category_028,4/19/2012,500
Product_0979,Whse_J,Category_028,6/5/2012,500
Product_0979,Whse_J,Category_028,6/27/2012,500
Product_0979,Whse_J,Category_028,7/23/2012,500
Product_0979,Whse_J,Category_028,8/29/2012,500
Product_0979,Whse_J,Category_028,8/29/2012,500
Product_0979,Whse_J,Category_028,9/18/2012,500
Product_0979,Whse_J,Category_028,10/11/2012,500
Product_0979,Whse_J,Category_028,11/1/2012,500
Product_0979,Whse_J,Category_028,11/29/2012,500
Product_0979,Whse_J,Category_028,12/26/2012,500
Product_1159,Whse_J,Category_006,1/6/2012,50000
Product_1159,Whse_J,Category_006,1/18/2012,100000
Product_1159,Whse_J,Category_006,2/2/2012,50000
Product_1159,Whse_J,Category_006,2/22/2012,50000
Product_1159,Whse_J,Category_006,3/2/2012,50000
Product_1159,Whse_J,Category_006,3/9/2012,50000
Product_1159,Whse_J,Category_006,3/23/2012,50000
Product_1159,Whse_J,Category_006,4/6/2012,50000
Product_1159,Whse_J,Category_006,4/16/2012,50000
Product_1159,Whse_J,Category_006,5/7/2012,50000
Product_1159,Whse_J,Category_006,4/17/2012,50000
Product_1159,Whse_J,Category_006,5/30/2012,50000
Product_1159,Whse_J,Category_006,6/20/2012,50000
Product_1159,Whse_J,Category_006,6/29/2012,50000
Product_1159,Whse_J,Category_006,7/9/2012,50000
Product_1159,Whse_J,Category_006,7/17/2012,50000
Product_1159,Whse_J,Category_006,7/30/2012,50000
Product_1159,Whse_J,Category_006,8/27/2012,50000
Product_1159,Whse_J,Category_006,7/31/2012,50000
Product_1159,Whse_J,Category_006,8/6/2012,50000
Product_1159,Whse_J,Category_006,9/4/2012,50000
Product_1159,Whse_J,Category_006,9/18/2012,50000
Product_1159,Whse_J,Category_006,8/30/2012,50000
Product_1159,Whse_J,Category_006,8/30/2012,50000
Product_1159,Whse_J,Category_006,9/12/2012,50000
Product_1159,Whse_J,Category_006,9/25/2012,50000
Product_1159,Whse_J,Category_006,10/1/2012,100000
Product_1159,Whse_J,Category_006,10/10/2012,50000
Product_1159,Whse_J,Category_006,10/18/2012,100000
Product_1159,Whse_J,Category_006,10/25/2012,50000
Product_1159,Whse_J,Category_006,11/1/2012,50000
Product_1938,Whse_J,Category_001,6/6/2012,4
Product_1938,Whse_J,Category_001,7/13/2012,4
Product_1938,Whse_J,Category_001,12/13/2012,4
Product_1157,Whse_J,Category_006,3/8/2012,150000
Product_1157,Whse_J,Category_006,3/8/2012,150000
Product_1157,Whse_J,Category_006,4/23/2012,150000
Product_1157,Whse_J,Category_006,5/23/2012,150000
Product_1157,Whse_J,Category_006,6/4/2012,160000
Product_1157,Whse_J,Category_006,6/4/2012,160000
Product_1157,Whse_J,Category_006,8/9/2012,160000
Product_1157,Whse_J,Category_006,8/20/2012,160000
Product_1157,Whse_J,Category_006,9/10/2012,160000
Product_1157,Whse_J,Category_006,10/19/2012,160000
Product_1157,Whse_J,Category_006,9/28/2012,160000
Product_1157,Whse_J,Category_006,11/19/2012,160000
Product_1157,Whse_J,Category_006,12/19/2012,160000
Product_1234,Whse_J,Category_019,4/25/2012,1000
Product_1451,Whse_J,Category_019,1/12/2012,1000
Product_1274,Whse_J,Category_019,1/16/2012,1000
Product_1274,Whse_J,Category_019,1/24/2012,1000
Product_1274,Whse_J,Category_019,1/24/2012,1000
Product_1512,Whse_J,Category_019,1/25/2012,20000
Product_1512,Whse_J,Category_019,2/1/2012,20000
Product_1512,Whse_J,Category_019,2/15/2012,20000
Product_1274,Whse_J,Category_019,1/31/2012,1000
Product_1274,Whse_J,Category_019,2/7/2012,1000
Product_1274,Whse_J,Category_019,2/13/2012,1000
Product_1274,Whse_J,Category_019,2/15/2012,1000
Product_1274,Whse_J,Category_019,2/21/2012,2000
Product_1451,Whse_J,Category_019,2/28/2012,1000
Product_1274,Whse_J,Category_019,3/6/2012,1000
Product_1274,Whse_J,Category_019,3/12/2012,1000
Product_1512,Whse_J,Category_019,3/21/2012,20000
Product_1274,Whse_J,Category_019,3/27/2012,1000
Product_1512,Whse_J,Category_019,3/27/2012,20000
Product_1512,Whse_J,Category_019,3/30/2012,10000
Product_1512,Whse_J,Category_019,3/30/2012,10000
Product_1512,Whse_J,Category_019,4/12/2012,30000
Product_1512,Whse_J,Category_019,4/20/2012,20000
Product_1274,Whse_J,Category_019,4/2/2012,1000
Product_1274,Whse_J,Category_019,4/9/2012,1000
Product_1451,Whse_J,Category_019,4/23/2012,1000
Product_1512,Whse_J,Category_019,4/27/2012,20000
Product_1512,Whse_J,Category_019,5/23/2012,40000
Product_1274,Whse_J,Category_019,5/1/2012,1000
Product_1274,Whse_J,Category_019,5/22/2012,1000
Product_1451,Whse_J,Category_019,5/29/2012,1000
Product_1274,Whse_J,Category_019,6/4/2012,1000
Product_1512,Whse_J,Category_019,6/15/2012,30000
Product_1512,Whse_J,Category_019,6/20/2012,30000
Product_1512,Whse_J,Category_019,7/4/2012,30000
Product_1274,Whse_J,Category_019,6/19/2012,1000
Product_1451,Whse_J,Category_019,6/26/2012,1000
Product_1274,Whse_J,Category_019,6/27/2012,1000
Product_1274,Whse_J,Category_019,7/4/2012,1000
